"","pan.samplesID","cancer.type","Subtype_mRNA","Subtype_DNAmeth","Subtype_protein","Subtype_miRNA","Subtype_CNA","Subtype_Integrative","Subtype_other","Subtype_Selected"
"864","TCGA-E2-A15A-06A-11R-A12D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"865","TCGA-E2-A15C-01A-31R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"866","TCGA-E2-A15E-06A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"867","TCGA-E2-A15M-11A-22R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"868","TCGA-AR-A1AI-01A-11R-A12P-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"869","TCGA-A7-A13F-11A-42R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"870","TCGA-A7-A13E-11A-61R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"871","TCGA-AR-A1AP-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"872","TCGA-BH-A0AU-11A-11R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"873","TCGA-AR-A1AU-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"874","TCGA-AR-A1AT-01A-11R-A12P-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"875","TCGA-AR-A1AS-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"876","TCGA-AR-A1AK-01A-21R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"877","TCGA-AR-A1AJ-01A-21R-A12P-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"878","TCGA-BH-A0AZ-01A-21R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"879","TCGA-BH-A0B5-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"880","TCGA-BH-A0BF-01A-21R-A12P-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"881","TCGA-BH-A0BZ-11A-61R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"882","TCGA-BH-A0C3-11A-23R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"883","TCGA-BH-A0DG-01A-21R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"884","TCGA-BH-A0DI-01A-21R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"885","TCGA-BH-A0AZ-11A-22R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"886","TCGA-AR-A1AL-01A-21R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"887","TCGA-AR-A1AN-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"888","TCGA-AR-A1AV-01A-21R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"889","TCGA-BH-A0DV-01A-21R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"890","TCGA-E2-A1B0-01A-11R-A12P-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"891","TCGA-E2-A1B1-01A-21R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"892","TCGA-E2-A1B4-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"893","TCGA-AQ-A04L-01B-21R-A10J-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"894","TCGA-A8-A06U-01A-11R-A00Z-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"895","TCGA-A8-A09W-01A-11R-A00Z-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"896","TCGA-AR-A1AR-01A-31R-A137-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"897","TCGA-BH-A1EO-01A-11R-A137-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"898","TCGA-BH-A1ET-01A-11R-A137-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"899","TCGA-BH-A1ET-11B-23R-A137-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"900","TCGA-BH-A1EU-01A-11R-A137-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"901","TCGA-BH-A1EU-11A-23R-A137-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"902","TCGA-BH-A1EV-01A-11R-A137-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"903","TCGA-BH-A1EV-11A-24R-A137-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"904","TCGA-BH-A1EW-01A-11R-A137-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"905","TCGA-BH-A1EW-11B-33R-A137-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"906","TCGA-E2-A14N-01A-31R-A137-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"907","TCGA-E2-A15I-01A-21R-A137-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"908","TCGA-E2-A15I-11A-32R-A137-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"909","TCGA-A2-A0CP-01A-11R-A034-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"910","TCGA-A8-A07E-01A-11R-A034-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"911","TCGA-A8-A09I-01A-22R-A034-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"912","TCGA-AN-A0FZ-01A-11R-A034-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"913","TCGA-AO-A03R-01A-21R-A034-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"914","TCGA-AO-A0J7-01A-11R-A034-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"915","TCGA-A2-A1FV-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"916","TCGA-A2-A1FW-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"917","TCGA-A2-A1G1-01A-21R-A13Q-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"918","TCGA-E2-A15L-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"919","TCGA-E2-A15M-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"920","TCGA-E2-A1IN-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"921","TCGA-E2-A1L8-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"922","TCGA-EW-A1J2-01A-21R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"923","TCGA-A2-A1G4-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"924","TCGA-AO-A1KO-01A-31R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"925","TCGA-AO-A1KP-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"926","TCGA-AO-A1KT-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"927","TCGA-BH-A1EN-11A-23R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"928","TCGA-BH-A1EX-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"929","TCGA-BH-A1F2-11A-32R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"930","TCGA-BH-A1F6-11B-94R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"931","TCGA-BH-A1FD-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"932","TCGA-BH-A1FL-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"933","TCGA-BH-A1FM-11B-23R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"934","TCGA-C8-A1HE-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"935","TCGA-C8-A1HO-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"936","TCGA-D8-A1JD-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"937","TCGA-D8-A1JL-01A-11R-A13Q-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"938","TCGA-E2-A1IE-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"939","TCGA-AR-A1AW-01A-21R-A12P-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"940","TCGA-BH-A0BS-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"941","TCGA-BH-A0BT-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"942","TCGA-BH-A0DG-11A-43R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"943","TCGA-BH-A0DV-11A-22R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"944","TCGA-BH-A0H3-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"945","TCGA-BH-A0HA-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"946","TCGA-A1-A0SQ-01A-21R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"947","TCGA-E2-A1IF-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"948","TCGA-E2-A1IG-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"949","TCGA-E2-A1IO-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"950","TCGA-E2-A1L7-11A-33R-A144-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"951","TCGA-E2-A1LA-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"952","TCGA-E2-A1LB-01A-11R-A144-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"953","TCGA-E2-A1LB-11A-22R-A144-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"954","TCGA-E9-A1N8-01A-11R-A144-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"955","TCGA-E9-A1NA-01A-11R-A144-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"956","TCGA-E9-A1NA-11A-33R-A144-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"957","TCGA-E9-A1ND-11A-43R-A144-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"958","TCGA-EW-A1IX-01A-12R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"959","TCGA-EW-A1OZ-01A-11R-A144-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"960","TCGA-EW-A1P4-01A-21R-A144-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"961","TCGA-EW-A1P5-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"962","TCGA-BH-A1F0-01A-11R-A137-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"963","TCGA-BH-A1F0-11B-23R-A137-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"964","TCGA-C8-A1HF-01A-11R-A137-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"965","TCGA-C8-A1HG-01A-11R-A137-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"966","TCGA-C8-A1HI-01A-11R-A137-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"967","TCGA-C8-A1HL-01A-11R-A137-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"968","TCGA-C8-A1HM-01A-12R-A137-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"969","TCGA-C8-A1HN-01A-11R-A137-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"970","TCGA-BH-A0E6-01A-11R-A034-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"971","TCGA-BH-A0H7-01A-13R-A056-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"972","TCGA-D8-A1JS-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"973","TCGA-E2-A1IH-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"974","TCGA-E2-A1L9-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"975","TCGA-EW-A1J3-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"976","TCGA-EW-A1J5-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"977","TCGA-BH-A1FB-11A-33R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"978","TCGA-BH-A1F6-01A-11R-A13Q-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"979","TCGA-D8-A1JU-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"980","TCGA-EW-A1IW-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"981","TCGA-EW-A1J6-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"982","TCGA-A1-A0SG-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"983","TCGA-A1-A0SI-01A-11R-A144-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"984","TCGA-A1-A0SN-01A-11R-A144-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"985","TCGA-AO-A1KR-01A-12R-A144-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"986","TCGA-E2-A1IG-11A-22R-A144-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"987","TCGA-E2-A1II-01A-11R-A144-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"988","TCGA-E2-A1IJ-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"989","TCGA-E2-A1IK-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"990","TCGA-E2-A1L7-01A-11R-A144-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"991","TCGA-E2-A1LL-01A-11R-A144-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"992","TCGA-A2-A1G0-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"993","TCGA-A7-A13G-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"994","TCGA-AQ-A1H2-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"995","TCGA-AQ-A1H3-01A-31R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"996","TCGA-BH-A1EN-01A-11R-A13Q-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"997","TCGA-BH-A1FC-01A-11R-A13Q-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"998","TCGA-BH-A1FU-11A-23R-A14D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"999","TCGA-D8-A1X5-01A-11R-A14D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1000","TCGA-D8-A1XA-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1001","TCGA-D8-A1XB-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1002","TCGA-D8-A1XC-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1003","TCGA-D8-A1XD-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1004","TCGA-D8-A1XF-01A-11R-A14D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1005","TCGA-D8-A1XG-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1006","TCGA-BH-A1FE-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1007","TCGA-BH-A1FN-11A-34R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1008","TCGA-C8-A1HJ-01A-11R-A13Q-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1009","TCGA-D8-A1JE-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1010","TCGA-D8-A1JF-01A-11R-A13Q-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1011","TCGA-D8-A1JG-01B-11R-A13Q-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1012","TCGA-D8-A1JH-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1013","TCGA-D8-A1JM-01A-11R-A13Q-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1014","TCGA-E2-A1IL-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1015","TCGA-E2-A1IP-01A-11R-A14D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1016","TCGA-E2-A1IU-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1017","TCGA-E2-A1LH-01A-11R-A14D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1018","TCGA-E2-A1LH-11A-22R-A14D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1019","TCGA-E2-A1LK-01A-21R-A14D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1020","TCGA-E9-A1N5-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1021","TCGA-E9-A1N5-11A-41R-A14D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1022","TCGA-E9-A1N6-01A-11R-A144-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1023","TCGA-E9-A1N6-11A-32R-A144-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1024","TCGA-E9-A1ND-01A-11R-A144-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1025","TCGA-EW-A1OV-01A-11R-A144-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1026","TCGA-EW-A1OW-01A-21R-A144-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1027","TCGA-EW-A1OX-01A-11R-A144-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1028","TCGA-EW-A1OY-01A-11R-A144-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1029","TCGA-EW-A1P0-01A-11R-A144-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1030","TCGA-BH-A1FR-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1031","TCGA-BH-A1EY-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1032","TCGA-D8-A1JP-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1033","TCGA-BH-A1F8-11B-21R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1034","TCGA-AO-A1KQ-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1035","TCGA-BH-A1FC-11A-32R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1036","TCGA-BH-A1FG-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1037","TCGA-BH-A1FH-11B-42R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1038","TCGA-A2-A0CX-01A-21R-A00Z-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1039","TCGA-A2-A0D0-01A-11R-A00Z-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1040","TCGA-A7-A0CG-01A-12R-A056-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1041","TCGA-A7-A0CJ-01A-21R-A00Z-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1042","TCGA-BH-A0HA-11A-31R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1043","TCGA-E2-A1B5-01A-21R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1044","TCGA-BH-A0E0-11A-13R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1045","TCGA-BH-A0E1-11A-13R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1046","TCGA-BH-A0H7-11A-13R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1047","TCGA-BH-A0HK-11A-11R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1048","TCGA-A2-A04R-01A-41R-A109-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1049","TCGA-A2-A0YG-01A-21R-A109-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1050","TCGA-A2-A0YH-01A-11R-A109-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1051","TCGA-A2-A0YJ-01A-11R-A109-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1052","TCGA-BH-A1FN-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1053","TCGA-B6-A1KF-01A-11R-A13Q-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1054","TCGA-BH-A1FR-11B-42R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1055","TCGA-C8-A1HK-01A-21R-A13Q-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1056","TCGA-D8-A1JB-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1057","TCGA-D8-A1JI-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1058","TCGA-D8-A1JK-01A-11R-A13Q-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1059","TCGA-D8-A1JN-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1060","TCGA-EW-A1P7-01A-21R-A144-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1061","TCGA-EW-A1PB-01A-11R-A144-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1062","TCGA-EW-A1PD-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1063","TCGA-EW-A1PE-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1064","TCGA-EW-A1PF-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1065","TCGA-A1-A0SB-01A-11R-A144-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1066","TCGA-A1-A0SF-01A-11R-A144-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1067","TCGA-A7-A0CE-11A-21R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1068","TCGA-A7-A0CH-11A-32R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1069","TCGA-E9-A1R6-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1070","TCGA-E9-A1RA-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1071","TCGA-EW-A1P1-01A-31R-A14D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1072","TCGA-D8-A1J8-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
