"","pan.samplesID","cancer.type","Subtype_mRNA","Subtype_DNAmeth","Subtype_protein","Subtype_miRNA","Subtype_CNA","Subtype_Integrative","Subtype_other","Subtype_Selected"
"703","TCGA-BH-A0B7-11A-34R-A115-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"704","TCGA-BH-A0BW-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"705","TCGA-BH-A0BW-11A-12R-A115-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"706","TCGA-BH-A0DE-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"707","TCGA-BH-A0EI-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"708","TCGA-C8-A12N-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"709","TCGA-C8-A12O-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"710","TCGA-C8-A12X-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"711","TCGA-E2-A15D-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"712","TCGA-E2-A159-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"713","TCGA-E2-A10A-01A-21R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"714","TCGA-D8-A147-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"715","TCGA-D8-A146-01A-31R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"716","TCGA-D8-A13Y-01A-11R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"717","TCGA-C8-A138-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"718","TCGA-C8-A12Z-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"719","TCGA-AN-A0XL-01A-11R-A10J-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"720","TCGA-AO-A12B-01A-11R-A10J-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"721","TCGA-BH-A0B2-11A-11R-A10J-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"722","TCGA-E2-A10C-01A-21R-A10J-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"723","TCGA-AR-A0TY-01A-12R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"724","TCGA-A2-A04N-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"725","TCGA-A2-A0CL-01A-11R-A115-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"726","TCGA-AO-A03V-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"727","TCGA-E2-A15P-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"728","TCGA-E2-A15R-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"729","TCGA-BH-A0W3-01A-11R-A109-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"730","TCGA-C8-A12K-01A-21R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"731","TCGA-C8-A12U-01A-11R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"732","TCGA-C8-A132-01A-31R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"733","TCGA-C8-A134-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"734","TCGA-D8-A141-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"735","TCGA-D8-A142-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"736","TCGA-E2-A14T-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"737","TCGA-E2-A14X-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"738","TCGA-A2-A0CV-01A-31R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"739","TCGA-A2-A0CW-01A-21R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"740","TCGA-B6-A0RH-01A-21R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"741","TCGA-B6-A0RQ-01A-11R-A115-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"742","TCGA-B6-A0WS-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"743","TCGA-B6-A0X0-01A-21R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"744","TCGA-BH-A0AV-01A-31R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"745","TCGA-BH-A0B0-01A-21R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"746","TCGA-C8-A12W-01A-11R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"747","TCGA-C8-A12V-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"748","TCGA-C8-A12M-01A-11R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"749","TCGA-C8-A12L-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"750","TCGA-BH-A0EA-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"751","TCGA-BH-A0E9-01B-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"752","TCGA-BH-A0BR-01A-21R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"753","TCGA-BH-A0BQ-11A-33R-A115-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"754","TCGA-E2-A15T-01A-11R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"755","TCGA-E2-A15S-01A-11R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"756","TCGA-E2-A154-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"757","TCGA-E2-A14Z-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"758","TCGA-D8-A145-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"759","TCGA-D8-A143-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"760","TCGA-C8-A137-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"761","TCGA-C8-A135-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"762","TCGA-BH-A0H5-01A-21R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"763","TCGA-BH-A0H5-11A-62R-A115-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"764","TCGA-C8-A12Q-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"765","TCGA-C8-A12T-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"766","TCGA-C8-A131-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"767","TCGA-D8-A140-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"768","TCGA-E2-A14R-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"769","TCGA-E2-A15O-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"770","TCGA-AO-A12F-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"771","TCGA-AO-A12H-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"772","TCGA-AR-A0U1-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"773","TCGA-BH-A0BG-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"774","TCGA-BH-A0BL-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"775","TCGA-BH-A0C7-01B-11R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"776","TCGA-BH-A0DL-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"777","TCGA-BH-A0DL-11A-13R-A115-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"778","TCGA-A1-A0SD-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"779","TCGA-A2-A0D3-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"780","TCGA-A2-A0ES-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"781","TCGA-A2-A0EW-01A-21R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"782","TCGA-A2-A0T3-01A-21R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"783","TCGA-A7-A0DA-01A-31R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"784","TCGA-AO-A12A-01A-21R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"785","TCGA-BH-A0B7-01A-12R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"786","TCGA-AO-A12D-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"787","TCGA-AR-A0TS-01A-11R-A115-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"788","TCGA-C8-A12P-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"789","TCGA-C8-A130-01A-31R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"790","TCGA-D8-A13Z-01A-11R-A115-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"791","TCGA-E2-A14O-01A-31R-A115-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"792","TCGA-E2-A15F-01A-11R-A115-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"793","TCGA-AR-A1AH-01A-11R-A12D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
